id,retailer,fascia,store_name,add_one,add_two,town,suburb,postcode,long_wgs,lat_wgs,bng_e,bng_n,pqi,open_date,size_band,county
1010006833,Waitrose,Waitrose,Waitrose Chiswick,356-362 High Street,,London,Turnham Green,W4 5TA,-0.2630533121876123,51.492719591554845,520681.47148309305,178516.13818131876,Rooftop,,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010010834,Iceland,Iceland,Iceland Old Oak Common Lane East Acton,90-92 Old Oak Common Lane,,London,East Acton,W3 7DA,-0.2489462815175034,51.51475106643466,521602.1514853941,180989.47819222749,Rooftop,,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010021951,Cook,Cook,Cook Chiswick,22 Chiswick Lane,,London,Turnham Green,W4 2JG,-0.2516645,51.4905034,521477.9530937179,178288.50630660652,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010010485,Tesco,Tesco Express,Tesco Bermondsey Spa Express,Bermondsey Spa,Jamaica Road,London,Bermondsey,SE16 4BA,-0.0697278399407925,51.498238214818784,534085.5315177371,179465.96820974944,Rooftop,20159999.0,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010003801,Sainsburys,Sainsburys Local,Sainsburys Canada Water Station Local,Ontario Point,30 & 32 Surrey Quays Road,London,Rotherhithe,SE16 7ED,-0.0494836028046344,51.49857065908508,535489.6692306912,179540.18611931073,Rooftop,,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010004155,Tesco,Tesco,Tesco Hackney Morning Lane Superstore,55 Morning Lane,Hackney,London,Hackney,E9 6ND,-0.052746287443219,51.54693591599037,535120.0815201787,184912.49823179,Rooftop,,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Greater London
1010007063,Lidl,Lidl,Lidl South Hackney London,27-37 Well Street,,London,South Hackney,E9 7QX,-0.0538826075598375,51.54075511643136,535059.581520052,184223.07822912448,Rooftop,,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010001192,Budgens,Budgens,Budgens Whitechapel London,287-289 Whitechapel Road,Whitechapel,London,Whitechapel,E1 1BY,-0.0592915619887515,51.51956756328739,534747.0015193432,181856.99821979977,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010004853,Tesco,Tesco Express,Tesco Whitechapel Express,45 Whitechapel Road,Whitechapel,London,Whitechapel,E1 1DU,-0.0686928577826826,51.5168262307916,534102.8215177113,181534.89821742388,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010004855,Tesco,Tesco Express,Tesco Commercial Rd Express,226-228 Commercial Road,Whitechapel,London,Shadwell,E1 2BT,-0.0590276478863697,51.51445477172209,534780.3915194483,181288.9282177669,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010010796,Iceland,Iceland,Iceland Hackney,150 Mare Street,,London,South Hackney,E8 3SG,-0.0558515856362769,51.53959570928796,534926.4715197175,184090.5182283909,Rooftop,,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010002926,Sainsburys,Sainsburys,Sainsburys Whitechapel,1 Cambridge Heath Road,,London,Whitechapel,E1 5SD,-0.0586325900297914,51.52116633203937,534788.0015194414,182035.99822054047,Rooftop,,"30,138 ft2 > (2,800 m2)",Greater London
1010004892,Tesco,Tesco Express,Tesco Hackney Dalston Ln Express,230 Dalston Lane,Hackney,London,Hackney,E8 1LA,-0.0612379610887797,51.54863037906347,534526.3215186562,185085.2882313417,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010004880,Tesco,Tesco Express,Tesco Hackney Rd Express,452 Hackney Road,Bethnal Green,London,Bethnal Green,E2 9EG,-0.0593084959582605,51.53210350618428,534708.8515191949,183250.9982248853,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
